_id,title,precision,recall,f1-score,support,confused_with.willing_to_discuss_adviser,confused_with.coping_strategies_bipolar_disorder,confused_with.coping_strategies_depression,confused_with.treatment_options_drug_use_disorders,confused_with.health_resources,confused_with.goodbye,confused_with.coping_strategies_anxiety_disorders,confused_with.learn_about_alcohol_use_disorders,confused_with.support_network_anxiety_disorders,confused_with.support_network_depression,confused_with.support_network_alcohol_use_disorders,confused_with.serious_mental_health,confused_with.deny,value
64a96308aab0f7ba967030b8,medication_management_schizophrenia,1,1,1,3,,,,,,,,,,,,,,
64a96308aab0f7ba967030b9,health_resources,0.8888888888888888,1,0.9411764705882353,8,,,,,,,,,,,,,,
64a96308aab0f7ba967030ba,feeling_schizophrenia,1,1,1,9,,,,,,,,,,,,,,
64a96308aab0f7ba967030bb,identify_anxiety_symptoms,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030bc,support_network_anxiety_disorders,0.5,1,0.6666666666666666,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030bd,support_network_alcohol_use_disorders,0.8333333333333334,1,0.9090909090909091,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030be,deny,0.875,1,0.9333333333333333,7,,,,,,,,,,,,,,
64a96308aab0f7ba967030bf,coping_strategies_anxiety_disorders,0.8333333333333334,1,0.9090909090909091,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030c0,learn_about_eating_disorders,1,1,1,6,,,,,,,,,,,,,,
64a96308aab0f7ba967030c1,medical_leave,1,1,1,10,,,,,,,,,,,,,,
64a96308aab0f7ba967030c2,identify_alcohol_use_symptoms,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030c3,mood_great,1,1,1,14,,,,,,,,,,,,,,
64a96308aab0f7ba967030c4,find_support_resources_bipolar_disorder,1,1,1,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030c5,identify_drug_use_symptoms,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030c6,thanks,1,1,1,12,,,,,,,,,,,,,,
64a96308aab0f7ba967030c7,coping_strategies_schizophrenia,1,0.3333333333333333,0.5,3,1,1,,,,,,,,,,,,
64a96308aab0f7ba967030c8,company_no_employees,1,1,1,9,,,,,,,,,,,,,,
64a96308aab0f7ba967030c9,coping_strategies_eating_disorders,1,0.8,0.888888888888889,5,,,1,,,,,,,,,,,
64a96308aab0f7ba967030ca,learn_about_drug_use_disorders,1,1,1,6,,,,,,,,,,,,,,
